Site No.,State,District,Location,Pin code,Lat,Long,Address
1527,Haryana,ROHTAK,Rohtak,124406,11.109246,77.971135,"31//8, Village Kansala, Tehsil & DistricRohtakRohtak124406Haryana"
1528,Haryana,MEWAT,Mewat,122107,24.368858,73.031111,"Village - Ujina, Tehsil - Nuh,MewatMewat122107Haryana"
1529,Haryana,GURGAON,Gurgaon,122506,28.629037,76.966861059495,"Village-Alimuddinpur,Taluka-FarrukhnagarGurgaonGurgaon122506Haryana"
1530,Haryana,ROHTAK,Rohtak,124001,21.917378,75.1162711587933,"Village Karontha,Tehsil &Dist.-RohtakRohtakRohtak124001Haryana"
1531,Haryana,JHAJJAR,Jhajjar,124104,9.694082,78.461927,"Vill.jahangirpur,Tehsil & Dist-JhajjarJhajjarJhajjar124104Haryana"
1532,Haryana,KARNAL,Karnal,132114,25.413968,74.611178,"ill Gharaunda , Tehsil Gharaunda ,KarnalKarnal132114Haryana"
1533,Haryana,FATEHABAD,Fatehabad,125111,27.367988,77.1239326911101,Village Dholu Tehsil BhunaFatehabadFatehabad125111Haryana
1534,Haryana,PALWAL,"Palwal,",121105,24.621182,74.676629,"Killa No. 6 (7-13), Village Maholi,HodalPalwal,Palwal,121105Haryana"
1535,Haryana,ROHTAK,Rohtak,124021,27.433531,74.934724,"Village Maina, Tehsil & District Rohtak,RohtakRohtak124021Haryana"
1536,Haryana,PANIPAT,Panipat,132103,21.862941,70.15406,"(Panipat-Asand Rd,SH-14) Tehsil MadlaudaPanipatPanipat132103Haryana"
1537,Haryana,KAITHAL,Kaithal,136027,11.690373,78.115825,"Vill Patti Kaisth Seth,Tehsil KaithalKaithalKaithal136027Haryana"
1538,Haryana,MAHENDRAGARH,Mohindergarh,123023,18.801146,75.515426,"Dist.Mohindergarh, HaryanaMohindergarhMohindergarh123023Haryana"
1539,Haryana,REWARI,Rewari,123301,18.785349,73.262694,"Dist.Rewari,HaryanaRewariRewari123301Haryana"
1540,Haryana,HISAR,Hisar,125052,20.690831,73.16449,"School, Mandi Adampur, Hisar,HisarHisar125052Haryana"
1541,Haryana,BHIWANI,Bhiwani,127042,18.153386,78.896257,"Village Lamba , Sub Tehsil Bond Kalan ,Charkhi DadriBhiwani127042Haryana"
1542,Haryana,KARNAL,"Karnal,",132039,13.802112,77.755227,"Khasra No 43//14 min, Vill Dhanouli,Karnal,Karnal,132039Haryana"
1543,Haryana,KURUKSHETRA,Kurukshetra,136128,25.37675,72.145567,"Village Teokar, Tehsil - Pehowa,KurukshetraKurukshetra136128Haryana"
1544,Haryana,MEWAT,Mewat,122104,29.919367,76.800009045842,"Vill. Ghata Shamshabad , Tehsil FerozpurMewatMewat122104Haryana"
1545,Haryana,MEWAT,MEWAT,122107,23.4836554,85.4699453,"M.NO. 15, KILA NO. 13(8-12), ,NUH,MEWATMEWATMEWAT122107Haryana"
1546,Haryana,BHIWANI,Bhiwani,127031,13.130333,80.279436,"village–Dhanana,Tehsil & Dist – BhiwaniBhiwaniBhiwani127031Haryana"
1547,Haryana,PANIPAT,Panipat.,132103,25.471693,85.421257,KillaNo.9/1/2(3-2)12(8-0) JalalpurPanipat.Panipat.132103Haryana
1548,Haryana,GURGAON,Gurgaon,122506,27.68498,73.71767,"Opp. Dronacharya sr. sec. school,GurgaonGurgaon122506Haryana"
1549,Haryana,KURUKSHETRA,Kurukshetra,136118,27.125646,77.7933309012585,"Killa No 23//7, Kirmach,Tehsil -ThanesarKurukshetraKurukshetra136118Haryana"
1550,Haryana,REWARI,Rewari,123106,25.817971,84.041995,"Tehsil.Dharuhera,RewariRewari123106Haryana"
1551,Haryana,REWARI,Rewari,123103,21.993904,81.253201,"Tehsil Manethi ,RewariRewari123103Haryana"
1552,Haryana,PANIPAT,Panipat,132103,23.1255,71.783273,"Village Ujha, Tehsil-Bapoli,PanipatPanipat132103Haryana"
1553,Haryana,FATEHABAD,Fatehabad,125051,14.10965,78.170789,Khasra No.244//5/2/1(8-7) Village AyalkiFatehabadFatehabad125051Haryana
1554,Haryana,YAMUNANAGAR,Yamunanagar,135001,22.146128,72.919021,"17//4/2/1, 7/3 Kitas 2 and Khasra No 17/YamunanagarYamunanagar135001Haryana"
1555,Haryana,KARNAL,Karnal,132001,23.298537,72.288942,"Killa No 80//4/2 (5-16) at Vill-Kachwa,KarnalKarnal132001Haryana"
1556,Haryana,JHAJJAR,Jhajjar,124103,18.824914,73.283729,"Chuchakwas, Dist.JhajjarJhajjarJhajjar124103Haryana"
1557,Haryana,PALWAL,Palwal,121106,24.134141,74.733029,PalwalPalwal121106Haryana
1558,Haryana,BHIWANI,Bhiwani,127306,26.623746,93.984339,"Bhiwani,HaryanaBhiwaniBhiwani127306Haryana"
1559,Haryana,YAMUNANAGAR,Yamunanagar,135113,21.931203,70.048935,Khasra No 10//25/2 (0-10) & 11//5 (5-19YamunanagarYamunanagar135113Haryana
1560,Haryana,PANIPAT,Panipat,132103,25.961721,75.113429,Khasra No 286(13-0) Taraf Makdum JadgaanPanipatPanipat132103Haryana
1561,Haryana,REWARI,Rewari,123401,28.492841,74.9782945,"Berli Kalan,HaryanaRewariRewari123401Haryana"
1562,Haryana,SIRSA,Sirsa,125055,23.903258,79.1866564999999,Killa Nos.89//3/1/2(0-11); 89//3/2(2-14)SirsaSirsa125055Haryana
1563,Haryana,BHIWANI,Bhiwani,127046,18.579086,73.991308,"Siwani,Dist-Bhiwani, HaryanaBhiwaniBhiwani127046Haryana"
1564,Haryana,PANIPAT,Panipat,132103,,,"Killa No. 17/2,Village RajapurPanipatPanipat132103Haryana"
1565,Haryana,PALWAL,Gurgaon,122051,21.378389,69.979405,GurgaonGurgaon122051Haryana
1566,Haryana,SONIPAT,Sonipat,131306,21.732025,71.456436,"Village Chidana,Tehsil-Gohana,SonipatSonipat131306Haryana"
1567,Haryana,KARNAL,Karnal,132157,12.17655,78.543668,"13/2,Vill-Bukhapuri,Tehsil,Nighdu,KarnalKarnal132157Haryana"
1568,Haryana,PALWAL,Palwal,121106,23.47445,72.881508,"Palwal,HaryanaPalwalPalwal121106Haryana"
1569,Haryana,MEWAT,Mewat,122105,15.98221,77.73878,"Village - Jhamuwas, Tehsil - Tauru,MewatMewat122105Haryana"
1570,Haryana,REWARI,Rewari,123401,32.004292,75.147057,"8/2/1/2 min, 8/2/2 min, 9/2/2,KhijuriRewariRewari123401Haryana"
1571,Haryana,KARNAL,Karnal,132039,21.135103,72.851753,"Killa No 12/1/1/2/(2-14),Village AssandhKarnalKarnal132039Haryana"
1572,Haryana,PANIPAT,Panipat,132001,28.220815,76.833263,Tehsil -gharundaPanipatPanipat132001Haryana
1573,Haryana,MAHENDRAGARH,Mahendergarh,123021,22.476964,72.650322,MahendergarhMahendergarh123021Haryana
1574,Haryana,JIND,Jind,126102,13.818391,76.061552,"Vpo Khera Khemawati , Tehsil Safidon,JindJind126102Haryana"
1575,Haryana,PALWAL,Palwal,121103,22.075224,71.891993,Village.HathinPalwalPalwal121103Haryana
1576,Haryana,PALWAL,Palwal,121102,16.191245,80.525387,"Kill no 5/1/3,5/2/1,7/1,7/2,Villl PelakPalwalPalwal121102Haryana"
1577,Haryana,JHAJJAR,Jhajjar,124201,17.459541,82.918094,"134//28/2 min , village Beri Khas,JhajjarJhajjar124201Haryana"
1578,Haryana,FARIDABAD,Palwal,121102,28.247344,76.506533,", Kila No.- 11/1(1-3), 20/1/2(, H02Viil- RahimpurPalwalPalwal121102Haryana"
1579,Haryana,PALWAL,Nangalia,121102,20.075435,85.235134,"Kill No 10/2/11/1,11/2/12,13/1/18,19,NangaliaNangalia121102Haryana"
1580,Haryana,KARNAL,Karnal,132001,16.5115032,81.7443404,"12.8 KM Stone,MangloraKarnalKarnal132001Haryana"
1581,Haryana,KARNAL,Karnal,132001,22.898232,69.216183,"Khatauni No.48,Khasra No.14/5/2,AndheraKarnalKarnal132001Haryana"
1582,Haryana,FARIDABAD,Palwal,121102,26.419761,90.978154,"Khewat No. 136/169, H02PalwalPalwal121102Haryana"
1583,Haryana,REWARI,Bawal,123512,27.715324,73.16206,"Khatauni No. 30Khewat No. 25,RaghunathpuraRewariBawal123512Haryana"
1584,Haryana,GURGAON,Farukhnagar,122413,24.058156,74.7647952362796,"Nh-8, 62 Km Delhi Jaipur Highway272/23/2, 272/24/1,Bohra KalanGurgaonFarukhnagar122413Haryana"
1585,Haryana,MAHENDRAGARH,Mahendergarh,123023,29.537636,74.178788,"Village. Sirohi Bahali, Narnaul,MahendergarhMahendergarh123023Haryana"
1586,Haryana,GURGAON,Gurgaon,122003,21.830021,71.347141,GurgaonGurgaon122003Haryana
1587,Haryana,HISAR,Hisar,125001,21.886916,70.027268,"Taluka : MonbatKhasra No. 65/5/2, 66/1-2/1-9/2HisarHisar125001Haryana"
1588,Haryana,MAHENDRAGARH,Narnaul,123001,21.366056,83.650022,"Khatauni No. 92,Udaipur KatariaMahendergarhNarnaul123001Haryana"
1589,Haryana,GURGAON,Tauru,122105,16.790974,74.790878,Village Khori KalanMewatTauru122105Haryana
1590,Haryana,MAHENDRAGARH,Mohindergarh,123027,17.332193,79.345084,"Khasra No. 193/21/3Khasra No. 193/21/3,KaninaMohindergarh,Mohindergarh123027Haryana"
1591,Haryana,JIND,Jind,126102,13.28373,75.97876,"Khatauni No. - 431Khewat No. - 305/280,KandelaJindJind126102Haryana"
1592,Haryana,KAITHAL,Kaithal,136034,27.278032,72.225007,"and 10/2 (2-8, H04Killa No.- 1/3/1(0-16KaithalKaithal136034Haryana"
1593,Haryana,PALWAL,Palwal,121102,16.970975,81.797874,"Village - Solra, H02Begambad RoadPalwalPalwal121102Haryana"
1594,Haryana,SIRSA,Sirsa,125104,26.14242,81.7855,"Khewat no. 145,Shergarh,Mandi DabwaliSirsaSirsa125104Haryana"
