Site No.,State,District,Location,Pin code,Lat,Long,Address
1,Andhra Pradesh,WEST GODAVARI,West Godavari,534401,28.051417,75.155516,WEST GODAVARIWest Godavari534401Andhra Pradesh
2,Andhra Pradesh,WEST GODAVARI,Junnuru,534265,22.080573,71.059047,JinnuruWest GodavariJunnuru534265Andhra Pradesh
3,Andhra Pradesh,NELLORE,Nellore,524101,29.972411,77.574005,"Gudur to Manubolu Road,NelloreNellore524101Andhra Pradesh"
4,Andhra Pradesh,PRAKASAM,Prakasham,523320,27.9407,78.066678,"PEDDA ARAVEEDU (M),PRAKASAMPrakasham523320Andhra Pradesh"
5,Andhra Pradesh,PRAKASAM,Prakasham,523326,28.410597,78.112781,"SY.NO. 304/A1,RAJUPALEM (V),PRAKASHAMPrakasham523326Andhra Pradesh"
6,Andhra Pradesh,KURNOOL,Kurnool,518396,27.175054,81.172656,KurnoolKurnool518396Andhra Pradesh
7,Andhra Pradesh,KURNOOL,BETAMCHERLA,518599,17.388664,78.422924,KURNOOLBETAMCHERLA518599Andhra Pradesh
8,Andhra Pradesh,EAST GODAVARI,Pedapudi,533344,16.962387,74.549471,"GANDREDU (V),EAST GODAVARIPedapudi533344Andhra Pradesh"
9,Andhra Pradesh,ANANTAPUR,Anantpur,515004,21.341736,74.881943,"Near Malleswari Dairy,AnantpurAnantpur515004Andhra Pradesh"
10,Andhra Pradesh,PRAKASAM,Obbapuram,523305,20.120134,79.021699,OBBAPURAM (V)PRAKASHAMObbapuram523305Andhra Pradesh
11,Andhra Pradesh,GUNTUR,GURZALA,522415,29.641187,76.645562,GUNTURGURZALA522415Andhra Pradesh
12,Andhra Pradesh,PRAKASAM,CHILAKUPADU,523225,20.708046,76.558764,PRAKASHAMCHILAKUPADU523225Andhra Pradesh
13,Andhra Pradesh,EAST GODAVARI,ALLAVARAM,533217,29.744682,78.016634,EAST GODAVARIALLAVARAM533217Andhra Pradesh
14,Andhra Pradesh,EAST GODAVARI,EAST GODAVARI,533288,23.565231,72.41852,KRISHNUNIPALEM (V)EAST GODAVARIEAST GODAVARI533288Andhra Pradesh
15,Andhra Pradesh,KURNOOL,Kurnool,518464,15.980961,73.704918,KURNOOLKurnool518464Andhra Pradesh
16,Andhra Pradesh,KURNOOL,KURNOOL,518124,11.832227,79.750041,KURNOOL ROADKURNOOLKURNOOL518124Andhra Pradesh
17,Andhra Pradesh,KURNOOL, KURNOOL,518513,29.06016,78.513562,SANTHAJUTURU (V)KURNOOL KURNOOL518513Andhra Pradesh
18,Andhra Pradesh,KURNOOL,Kurnool,533294,23.534899,72.976937,KurnoolKurnool533294Andhra Pradesh
19,Andhra Pradesh,ANANTAPUR,ANANTAPUR,515004,23.982423,73.202356,PAPAMPETANANTAPURANANTAPUR515004Andhra Pradesh
20,Andhra Pradesh,KURNOOL,KURNOOL,518002,22.334883,69.99446,OPP: VENKANNA BAVIKURNOOLKURNOOL518002Andhra Pradesh
21,Andhra Pradesh,YSR (KADAPA),KADAPA,516329,25.657555,78.478736,PULIVENDULA ROADKADAPAKADAPA516329Andhra Pradesh
22,Andhra Pradesh,YSR (KADAPA),KADAPA,516003,22.61182,70.264952,"BUGGALETIPALLI VILLAGE,KADAPAKADAPA516003Andhra Pradesh"
23,Andhra Pradesh,PRAKASAM,PRAKASAM,522316,20.467749,85.906462,CHINTAKUNTA (V)PRAKASAMPRAKASAM522316Andhra Pradesh
24,Andhra Pradesh,WEST GODAVARI,WEST GODAVARI,534275,27.14906,81.95827,"MAIN ROAD,WEST GODAVARIWEST GODAVARI534275Andhra Pradesh"
25,Andhra Pradesh,WEST GODAVARI,WEST GODAVARI,534134,25.159305,74.43143,"PIPPARA ROAD,WEST GODAVARIWEST GODAVARI534134Andhra Pradesh"
26,Andhra Pradesh,KURNOOL,KURNOOL,518553,29.626353,74.283866,CHAGALMARRI (V&M)KURNOOLKURNOOL518553Andhra Pradesh
27,Andhra Pradesh,WEST GODAVARI,WEST GODAVARI,534126,26.403973,82.574698,"KN ROAD MAIN ROAD,WEST GODAVARIWEST GODAVARI534126Andhra Pradesh"
28,Andhra Pradesh,KURNOOL,KURNOOL,518501,22.814927,72.938236,SANTHAGATEKURNOOLKURNOOL518501Andhra Pradesh
29,Andhra Pradesh,CHITTOOR,CHITTOORE,523315,25.801087,82.044645,"VANELLUR (V),CHITTOORECHITTOORE523315Andhra Pradesh"
30,Andhra Pradesh,ANANTAPUR,ANANTHPUR,515671,22.248404,70.108815,"DHARMAVARAM (V &M),ANANTHPURANANTHPUR515671Andhra Pradesh"
31,Andhra Pradesh,CHITTOOR,CHITTOORE,517236,26.440489,80.326343,CHITTOORECHITTOORE517236Andhra Pradesh
32,Andhra Pradesh,KURNOOL,KURNOOL,518003,27.702693,74.57689,"PLOT NO. 218,KURNOOLKURNOOL518003Andhra Pradesh"
33,Andhra Pradesh,SRIKAKULAM,SRIKAKULAM,532221,11.058945,77.190888,"PALASA (M),SRIKAKULAMSRIKAKULAM532221Andhra Pradesh"
34,Andhra Pradesh,CHITTOOR,CHITTOORE,517541,23.906875,72.62125,KANCHANPUTTUR (V)CHITTOORECHITTOORE517541Andhra Pradesh
35,Andhra Pradesh,WEST GODAVARI,West Godavari,534281,22.342389,73.218469,"MOGALTHURU (V&M),West GodavariWest Godavari534281Andhra Pradesh"
36,Andhra Pradesh,EAST GODAVARI,EAST GODAVARI,533468,23.26101,73.337801,"KAJULURU (M),EAST GODAVARIEAST GODAVARI533468Andhra Pradesh"
37,Andhra Pradesh,WEST GODAVARI,West Godavari,534461,24.075636,71.572036,TEDLAM (V)West GodavariWest Godavari534461Andhra Pradesh
38,Andhra Pradesh,YSR (KADAPA),KADAPA,516268,26.386586,83.944305,"GALIVEEDU (M), KADAPA DIST.KADAPAKADAPA516268Andhra Pradesh"
39,Andhra Pradesh,WEST GODAVARI,WEST GODAVARI,534202,29.84652,77.78066,"BHIMAVARAM (M), WEST GODAVARIWEST GODAVARIWEST GODAVARI534202Andhra Pradesh"
40,Andhra Pradesh,PRAKASAM,Prakasam,523316,27.723269,78.939504,"Opp ABM Compond,Markapur,PrakasamPrakasam523316Andhra Pradesh"
41,Andhra Pradesh,PRAKASAM,PRAKASAM,523331,25.55165,87.558017,PRAKASAMPRAKASAM523331Andhra Pradesh
42,Andhra Pradesh,WEST GODAVARI,WEST GODAVARI,534312,17.325209,78.472843,"KOYYALAGUDEM (M), WEST GODAVARIWEST GODAVARIWEST GODAVARI534312Andhra Pradesh"
43,Andhra Pradesh,ANANTAPUR,ANANTAPURAMU,515661,11.921397,79.292672,"BATHALAPALLI (V&M), ANANTAPURAMUANANTAPURAMUANANTAPURAMU515661Andhra Pradesh"
44,Andhra Pradesh,KURNOOL,Kurnool,518422,16.84666,81.284292,"Kothpalli mandal, KurnoolKurnoolKurnool518422Andhra Pradesh"
45,Andhra Pradesh,WEST GODAVARI,WEST GODAVARI,534195,25.000695,72.702412,"NIDAMARRU (M), WEST GODAVARI DIST.WEST GODAVARIWEST GODAVARI534195Andhra Pradesh"
46,Andhra Pradesh,PRAKASAM,Prakasam,523301,17.476316,78.567317,"Ballikurava (M),PrakasamPrakasam523301Andhra Pradesh"
47,Andhra Pradesh,WEST GODAVARI,WEST GODAVARI,534227,17.419783,78.500004,"UNDRAJAVARAM (M), WEST GODAVARIWEST GODAVARIWEST GODAVARI534227Andhra Pradesh"
48,Andhra Pradesh,WEST GODAVARI,WEST GODAVARI,534230,17.37232,78.54367,WEST GODAVARI DIST.WEST GODAVARIWEST GODAVARI534230Andhra Pradesh
49,Andhra Pradesh,EAST GODAVARI,East Godavari,533274,28.345638,76.263871,"P.Gannavaram (M), East Godavari Dist.East GodavariEast Godavari533274Andhra Pradesh"
50,Andhra Pradesh,KRISHNA,KRISHNA,521235,29.832365,74.972844,"VAVILALA (V), TIRUVUR (M),KRISHNAKRISHNA521235Andhra Pradesh"
51,Andhra Pradesh,KURNOOL,KURNOOL,518155,18.253541,75.666467,"UYYALAWADA (M), KURNOOL DIST.,KURNOOLKURNOOL518155Andhra Pradesh"
52,Andhra Pradesh,GUNTUR,GUNTUR,522438,16.5414476,81.7246846,"KORRAPADU (V&M), GUNTUR DIST.,GUNTURGUNTUR522438Andhra Pradesh"
53,Andhra Pradesh,CHITTOOR,CHITTOOR,517277,31.627907,74.890355,"TOMATO MARKET YARD, KALIKIRI (V&M),CHITTOORCHITTOOR517277Andhra Pradesh"
54,Andhra Pradesh,KURNOOL, KURNOOL,518112,20.674204,86.6396605,"PANYAM (M), KURNOOL KURNOOL518112Andhra Pradesh"
55,Andhra Pradesh,WEST GODAVARI,WEST GODAVARI,534146,25.322853,82.562489,"TADEPALLIGUDEM (M),WEST GODAVARIWEST GODAVARI534146Andhra Pradesh"
56,Andhra Pradesh,SRIKAKULAM, Srikakulam,532401,27.52371,73.9088699999999,Srikakulam(Dist & Mandal) Srikakulam Srikakulam532401Andhra Pradesh
57,Andhra Pradesh,WEST GODAVARI,WEST GODAVARI,534146,24.023275,76.370602,"TADEPALLIGUDEM (M), WEST GODAVARI DIST.WEST GODAVARIWEST GODAVARI534146Andhra Pradesh"
58,Andhra Pradesh,SRIKAKULAM,Srikakulam,532484,23.472314,76.5264594786814,"Ragolu(Village), Srikakulam(Mandal & DisSrikakulamSrikakulam532484Andhra Pradesh"
59,Andhra Pradesh,EAST GODAVARI,East Godavari,533308,23.169536,77.018086,"Mandapeta (M), East Godavari Dist.East GodavariEast Godavari533308Andhra Pradesh"
60,Andhra Pradesh,PRAKASAM,Prakasam,523262,27.7354,78.5779686599999,"Throvagunta (V), Ongole (M), PrakasamPrakasamPrakasam523262Andhra Pradesh"
61,Andhra Pradesh,WEST GODAVARI,WEST GODAVARI,534112,23.882474,74.045389,"NALLAJERLA (M), WEST GODAVARI DIST.WEST GODAVARIWEST GODAVARI534112Andhra Pradesh"
62,Andhra Pradesh,PRAKASAM,Prakasam,523302,29.196648,78.552926,"(V &M), Prakasam Dist.PrakasamPrakasam523302Andhra Pradesh"
63,Andhra Pradesh,CHITTOOR,Chittoor,517425,22.205648,69.558316,"Panchayat, Kuppam Mandal,Yanadipalli ViLChittoorChittoor517425Andhra Pradesh"
64,Andhra Pradesh,VIZIANAGARAM,Vizianagaram,535183,22.10454,87.86667,"anchayat Office, Kottavalasa (M),VizianagaramVizianagaram535183Andhra Pradesh"
65,Andhra Pradesh,ANANTAPUR,Ananthpur,515761,20.585997,82.960545,"Kalyandurg Mandal, AnanthpurAnanthpurAnanthpur515761Andhra Pradesh"
66,Andhra Pradesh,KURNOOL,Kurnool,518302,14.162384,79.854599,"ADONI (M), KURNOOL DISTKurnoolKurnool518302Andhra Pradesh"
67,Andhra Pradesh,WEST GODAVARI,WEST GODAVARI,534124,15.798463,79.258241,"PENUMANTRA (M), WEST GODAVARIWEST GODAVARIWEST GODAVARI534124Andhra Pradesh"
68,Andhra Pradesh,VIZIANAGARAM,Vizianagaram,535183,31.461815,74.948539,"Kothavalasa Mandalam, Vizianagaram DistrVizianagaramVizianagaram535183Andhra Pradesh"
69,Andhra Pradesh,PRAKASAM,PRAKASAM,523245,27.143306,78.939159,"KONAKANAMITLA (M), PRAKASAM DIST.PRAKASAMPRAKASAM523245Andhra Pradesh"
70,Andhra Pradesh,YSR (KADAPA),Kadapa,516217,26.91547,81.023112,"Kalasapadu (M), Kadapa DistKadapaKadapa516217Andhra Pradesh"
71,Andhra Pradesh,YSR (KADAPA),Kadapa,516355,26.200921,79.8227925,"Proddutur (M), Kadapa Dist.KadapaKadapa516355Andhra Pradesh"
72,Andhra Pradesh,PRAKASAM,PRAKASAM,523240,23.208893,69.408942,"CHIMAKURTHY (M), PRAKASAM DIST.PRAKASAMPRAKASAM523240Andhra Pradesh"
73,Andhra Pradesh,CHITTOOR,Chittoor,517526,28.402065,78.329021,"Yerped Mandal, Chittoor DistrictChittoorChittoor517526Andhra Pradesh"
74,Andhra Pradesh,YSR (KADAPA),KADAPA,516259,23.752532,72.984469,"Chakrayapeta (M), KADAPA DISTKADAPAKADAPA516259Andhra Pradesh"
75,Andhra Pradesh,PRAKASAM,Prakasam,523357,26.950589,79.772181,",Krishnam setti palli,Giddalur Mandel,PrakasamPrakasam523357Andhra Pradesh"
76,Andhra Pradesh,NELLORE,Nellore,524407,11.627259,78.991556,"Main Road, Gandurupalli (V), Rapur (M),NelloreNellore524407Andhra Pradesh"
77,Andhra Pradesh,CHITTOOR,Chittoor,517620,27.952954,79.954129,"Pallam Post, Yerpedu Mandal,ChittoorChittoor517620Andhra Pradesh"
78,Andhra Pradesh,NELLORE,Nellore,524201,28.330994,77.945847,"Nellore Dist., Andhra PradeshNelloreNellore524201Andhra Pradesh"
79,Andhra Pradesh,EAST GODAVARI,East Godavari,533201,21.622941,73.584318,"bridge,Amalapuram (V), Amalapuram (M),East GodavariEast Godavari533201Andhra Pradesh"
80,Andhra Pradesh,PRAKASAM, PRAKASAM,523265,22.796383,70.81223,"MUNDLAMUR (M), PRAKASAM PRAKASAM523265Andhra Pradesh"
81,Andhra Pradesh,KURNOOL,Kurnool,518302,30.856174,76.660633,"Kallubhavi village, Adoni taluk,KurnoolKurnool518302Andhra Pradesh"
82,Andhra Pradesh,KURNOOL,Kurnool,518401,22.244191,68.971524,"Jupadu Bunglaw Mandal,KurnoolKurnool518401Andhra Pradesh"
83,Andhra Pradesh,PRAKASAM,Prakasam,523316,18.651766,73.806619,"Markapur (V&M), Prakasam Dist.PrakasamPrakasam523316Andhra Pradesh"
84,Andhra Pradesh,WEST GODAVARI,WEST GODAVARI,534197,28.36373,77.362842,"VALLURU (V), GANAPAVARAM (M)WEST GODAVARIWEST GODAVARI534197Andhra Pradesh"
85,Andhra Pradesh,WEST GODAVARI,West Godavari,534186,22.029023,70.122522,"Palakoderu (M), West Godavari Dist.,West GodavariWest Godavari534186Andhra Pradesh"
86,Andhra Pradesh,KURNOOL," Kurnool,",518001,20.860683,70.700065,"Orvakal mandal,  Nandyal road,Kurnool, Kurnool,518001Andhra Pradesh"
87,Andhra Pradesh,ANANTAPUR,Ananthpur,515761,28.174746,76.880438,"Kalyandurg Mandal, AnanthpurAnanthpurAnanthpur515761Andhra Pradesh"
88,Andhra Pradesh,YSR (KADAPA),KADAPA,516130,12.34126,78.580947,"RAILWAY KODUR (M), KADAPA DIST.KADAPAKADAPA516130Andhra Pradesh"
89,Andhra Pradesh,PRAKASAM,Prakasam,523001,28.027571,77.010849,"NH5, Ongole Town, Ongole (M), Prakasam DPrakasamPrakasam523001Andhra Pradesh"
90,Andhra Pradesh,PRAKASAM,PRAKASAM,523227,23.444581,84.844275,"HANUMANTHUNIPADU (V&M), PRAKASAM DIST.PRAKASAMPRAKASAM523227Andhra Pradesh"
91,Andhra Pradesh,YSR (KADAPA),Kadapa,516360,16.752386,82.215092,"Proddutur Bypass Road, Jammalamadugu,KadapaKadapa516360Andhra Pradesh"
92,Andhra Pradesh,ANANTAPUR,"Ananthpur,",515465,22.961636,69.965317,"Garladinne mandalam, kallur villageAnanthpur,Ananthpur,515465Andhra Pradesh"
93,Andhra Pradesh,KURNOOL,Kurnool,518134,15.993201,79.447982,"Koilkuntla, Kurnool, APKurnoolKurnool518134Andhra Pradesh"
94,Andhra Pradesh,ANANTAPUR,Ananthpur,515591,15.246254,77.30462,"Kumarvandla Palli, Kadri,AnanthpurAnanthpur515591Andhra Pradesh"
95,Andhra Pradesh,GUNTUR,GUNTUR,522212,17.365541,78.428597,"CHEBROLU (V&M), GUNTUR DISTGUNTURGUNTUR522212Andhra Pradesh"
96,Andhra Pradesh,VISHAKAPATNAM,Visakhapatnam,531061,23.704702,72.525389,"Rambilli Mandal,VisakhapatnamVisakhapatnam531061Andhra Pradesh"
97,Andhra Pradesh,WEST GODAVARI,WEST GODAVARI,534260,23.701884,72.616115,"Y JUNCTION, WEST GODAVARIWEST GODAVARIWEST GODAVARI534260Andhra Pradesh"
98,Andhra Pradesh,EAST GODAVARI,East Godavari,533101,26.33803,81.66116,"Bommuru (V), Rajahmundry Rural (M),East GodavariEast Godavari533101Andhra Pradesh"
99,Andhra Pradesh,WEST GODAVARI,West Godavari,534447,28.156447,79.6873892,"Jangareddygudem (M), West GodavariWest GodavariWest Godavari534447Andhra Pradesh"
100,Andhra Pradesh,WEST GODAVARI,WEST GODAVARI,534101,23.040196,73.241246,"HOSPITAL,  VENKATRAMANNAGUDEM (V)WEST GODAVARIWEST GODAVARI534101Andhra Pradesh"
101,Andhra Pradesh,CHITTOOR,Chittoor,517124,25.936522,83.58679947,"Highway, P.Oddepalli Village,ChittoorChittoor517124Andhra Pradesh"
102,Andhra Pradesh,GUNTUR,GUNTUR,522265,12.063603,79.135656,"Near Penumudi, Repalle (V&M), GUNTUR DISGUNTURGUNTUR522265Andhra Pradesh"
103,Andhra Pradesh,EAST GODAVARI,East Godavari,533341,27.059522,83.833551,"Mandapeta (M), East Godavari Dist.East GodavariEast Godavari533341Andhra Pradesh"
104,Andhra Pradesh,PRAKASAM,Prakasam,523117,27.318545,80.623124,"Gunturulinganapalem (V),PrakasamPrakasam523117Andhra Pradesh"
105,Andhra Pradesh,ANANTAPUR,Ananthapur,515761,28.38602,77.360213,"Gangavaram village, Belguppa Mandal,AnanthapurAnanthapur515761Andhra Pradesh"
106,Andhra Pradesh,SRIKAKULAM,Srikakulam`,532222,24.164741,75.9964636406101,"Padmanabhapuram (V), KasibuggaSrikakulamSrikakulam532222Andhra Pradesh"
107,Andhra Pradesh,WEST GODAVARI,West Godavari,534280,22.7986997,73.2542247,"Kummaripurugupalem (V), Mogalturu (M),West GodavariWest Godavari534280Andhra Pradesh"
108,Andhra Pradesh,PRAKASAM,Prakasam,523328,27.354535,83.192211,"Pullalacheruvu (M),PrakasamPrakasam523328Andhra Pradesh"
109,Andhra Pradesh,KRISHNA,Krishna,521329,27.993265,79.575264,"Bantumilli (M), Krishna DistKrishnaKrishna521329Andhra Pradesh"
110,Andhra Pradesh,PRAKASAM,Prakasam,523240,27.114124,82.369368,"Near CV Raman MCA and MBA College, KaturPrakasamPrakasam523240Andhra Pradesh"
111,Andhra Pradesh,GUNTUR,Guntur,522529,23.676497,72.96947,"Sy.No. 383/2, Takkellapadu (V),GunturGuntur522529Andhra Pradesh"
112,Andhra Pradesh,KURNOOL,Kurnool,518301,11.05987,77.787511,"Adoni Taluka, Kurnool District,KurnoolKurnool518301Andhra Pradesh"
113,Andhra Pradesh,ANANTAPUR,Ananthpur,515425,24.606476,73.69012,"Narpala village & mandal,AnanthpurAnanthpur515425Andhra Pradesh"
114,Andhra Pradesh,PRAKASAM,Prakasam,523253,23.256045,69.899152,"Thallur (M),PrakasamPrakasam523253Andhra Pradesh"
115,Andhra Pradesh,SRIKAKULAM,Srikakulam,532432,28.214663,77.525592,"Jalumuru(Village & Mandal),SrikakulamSrikakulam532432Andhra Pradesh"
116,Andhra Pradesh,WEST GODAVARI,West Godavari,534406,22.506437,70.213702,"Unguturu (M), West Godavari Dist.West GodavariWest Godavari534406Andhra Pradesh"
117,Andhra Pradesh,EAST GODAVARI,East Godavari,533003,23.774226,74.9035188,"Vakalapudi (V), Kakinada (M),East GodavariEast Godavari533003Andhra Pradesh"
118,Andhra Pradesh,KURNOOL, KURNOOL,518222,27.322209,75.103744,"Dharmavaram (Village), Dhone (Mandal), KURNOOL KURNOOL518222Andhra Pradesh"
119,Andhra Pradesh,GUNTUR,GUNTUR,522814,23.255008,72.301179,"Durvi Village, Durgi Mandal,GUNTURGUNTUR522814Andhra Pradesh"
120,Andhra Pradesh,YSR (KADAPA),Kadapa,516321,27.499337,79.192094,"Animala(v),Veerapunanupalle(M),KadapaKadapa516321Andhra Pradesh"
121,Andhra Pradesh,KURNOOL,Kurnool,518380,23.3174,86.9512,"Pttikonda village & mandal,KurnoolKurnool518380Andhra Pradesh"
122,Andhra Pradesh,EAST GODAVARI,East Godavari,533233,24.506466,86.706268,East GodavariEast Godavari533233Andhra Pradesh
123,Andhra Pradesh,WEST GODAVARI,Prakasam,523225,22.594151,71.205521,"Santhanuthalapadu (M), Prakasam Dist.PrakasamPrakasam523225Andhra Pradesh"
124,Andhra Pradesh,PRAKASAM,Prakasam,523168,31.747016,74.775064,"Near Rosaiah Colony, Karamchedu (V&M),PrakasamPrakasam523168Andhra Pradesh"
125,Andhra Pradesh,EAST GODAVARI,East Godavari,533305,23.879318,73.032164,"Pamarru (V), K.Gangavaram (M),East GodavariEast Godavari533305Andhra Pradesh"
126,Andhra Pradesh,CHITTOOR,Chittoor,517325,23.545597,72.294557,"Nimmanapalli Mandal, Chittoor (District)ChittoorChittoor517325Andhra Pradesh"
127,Andhra Pradesh,KURNOOL,Kurnool,518593,24.951257,77.724989,"Kanala village,KurnoolKurnool518593Andhra Pradesh"
128,Andhra Pradesh,KURNOOL,Kurnool,518313,24.520555,82.99666667,KurnoolKurnool518313Andhra Pradesh
129,Andhra Pradesh,EAST GODAVARI,East Godavari,533294,27.15347,79.185937,"Rajanagaram(M),East GodavariEast Godavari533294Andhra Pradesh"
130,Andhra Pradesh,EAST GODAVARI,East Godavari,533296,17.264968,78.834045,"Rajanagaram(M),East GodavariEast Godavari533296Andhra Pradesh"
131,Andhra Pradesh,EAST GODAVARI,East Godavari,533105,26.463735,79.507745,"Katheru Revenue Village,East GodavariEast Godavari533105Andhra Pradesh"
132,Andhra Pradesh,PRAKASAM,Prakasam,523226,27.499158,79.192617,"Marripudi  (M),PrakasamPrakasam523226Andhra Pradesh"
133,Andhra Pradesh,KRISHNA,Krishna,521340,15.4576,78.1518,"Sy.No. 535/5B,Pallevada (V),KrishnaKrishna521340Andhra Pradesh"
134,Andhra Pradesh,YSR (KADAPA),Cuddapah,516172,27.994801,78.327652,"Mydukur (M),CuddapahCuddapah516172Andhra Pradesh"
135,Andhra Pradesh,WEST GODAVARI,West Godavari,534437,28.919618,75.477895,West GodavariWest Godavari534437Andhra Pradesh
136,Andhra Pradesh,WEST GODAVARI,West Godavari,534239,26.944008,75.3862,"Bhimavaram (M),West GodavariWest Godavari534239Andhra Pradesh"
137,Andhra Pradesh,PRAKASAM,Prakasam,523226,13.230278,80.161281,PrakasamPrakasam523226Andhra Pradesh
138,Andhra Pradesh,VISHAKAPATNAM,Visakhapatnam,531002,30.655785,75.600441,"Near Jaya Bheri Auto Motives, NH5 Road,VisakhapatnamVisakhapatnam531002Andhra Pradesh"
139,Andhra Pradesh,PRAKASAM,PRAKASAM,523356,27.7260089,79.0318393,"PANCHAYATHI, HASANAPURAM (V), KOMAROLU (PRAKASAMPRAKASAM523356Andhra Pradesh"
140,Andhra Pradesh,WEST GODAVARI,West Godavari,534237,28.033313,78.525486,"Kalla (M),West GodavariWest Godavari534237Andhra Pradesh"
141,Andhra Pradesh,SRIKAKULAM,Srikakulam,532430,25.754806,81.584152,"(Village&P.O), Polaki Mandal,SrikakulamSrikakulam532430Andhra Pradesh"
142,Andhra Pradesh,WEST GODAVARI,West Godavari,534342,,,West GodavariWest Godavari534342Andhra Pradesh
143,Andhra Pradesh,WEST GODAVARI,west Godavari,534452,23.995425,71.809858,"Kamavarapukota (M),west Godavariwest Godavari534452Andhra Pradesh"
144,Andhra Pradesh,GUNTUR,Guntur,522615,31.439964,74.97197,"Nakarikallu (M),GunturGuntur522615Andhra Pradesh"
145,Andhra Pradesh,WEST GODAVARI,West Godavari,534134,25.497736,80.341733,West GodavariWest Godavari534134Andhra Pradesh
146,Andhra Pradesh,EAST GODAVARI,East Godavari,533236,22.5297542,76.7587602,"Ankampalem, Atreyapuram MandalEast GodavariEast Godavari533236Andhra Pradesh"
147,Andhra Pradesh,YSR (KADAPA),Kadapa,516001,25.65775,80.725677,"Kadapa patha bypass road ,Ukkayapalli(v)KadapaKadapa516001Andhra Pradesh"
148,Andhra Pradesh,EAST GODAVARI,East Godavari,533462,22.50956,72.85676,East GodavariEast Godavari533462Andhra Pradesh
149,Andhra Pradesh,WEST GODAVARI,West Godavari,534123,21.509426,76.7665592094089,West GodavariWest Godavari534123Andhra Pradesh
150,Andhra Pradesh,PRAKASAM,Prakasam,523301,16.9234211,82.0772265,"Rajupalem (V), Martur (M),PrakasamPrakasam523301Andhra Pradesh"
151,Andhra Pradesh,YSR (KADAPA),Kadapa,516172,14.665936,77.572869,KadapaKadapa516172Andhra Pradesh
152,Andhra Pradesh,WEST GODAVARI,WEST GODAVARI,534407,21.628935,69.620473,"Near Subbaraju Ice Factory,NarayanapuramWEST GODAVARIWEST GODAVARI534407Andhra Pradesh"
153,Andhra Pradesh,ANANTAPUR,Ananthpur,515871,22.498426,76.6897139306582,"Kanekal Village and Mandal,AnanthpurAnanthpur515871Andhra Pradesh"
154,Andhra Pradesh,SRIKAKULAM,Srikakulam,532123,27.771219,74.377529,"Regidi Amadalavalasa Mandal,SrikakulamSrikakulam532123Andhra Pradesh"
155,Andhra Pradesh,EAST GODAVARI,East Godavari,533342,15.825314,79.493114,"Mandapeta (M), East Godavari Dist.,East GodavariEast Godavari533342Andhra Pradesh"
156,Andhra Pradesh,PRAKASAM,Prakasam,523270,26.020227,82.876121,"Kondapi Gadiyaram Vari Kandrika (V),PrakasamPrakasam523270Andhra Pradesh"
157,Andhra Pradesh,GUNTUR,GUNTUR,522647,23.834926,72.886404,"Vinukonda (V&M), GUNTUR DIST., AP.GUNTURGUNTUR522647Andhra Pradesh"
158,Andhra Pradesh,GUNTUR,GUNTUR,522647,23.216926,72.605964,"Canal, Vinukonda (V&M), GUNTUR DIST., APGUNTURGUNTUR522647Andhra Pradesh"
159,Andhra Pradesh,YSR (KADAPA),Kadapa,516269,25.390921,82.573494,"Rayachoty (M),KadapaKadapa516269Andhra Pradesh"
160,Andhra Pradesh,WEST GODAVARI,West Godavari,534225,29.0257634,73.04785131,"Relangi (V), Iragavaram (M),West GodavariWest Godavari534225Andhra Pradesh"
161,Andhra Pradesh,PRAKASAM,Prakasam,523260,10.992406,77.257008,"Addanki (M),PrakasamPrakasam523260Andhra Pradesh"
162,Andhra Pradesh,YSR (KADAPA),Kadapa,516193,16.510101,79.645412,"Pormamilla Mandal,KadapaKadapa516193Andhra Pradesh"
163,Andhra Pradesh,PRAKASAM,Prakasam,523247,10.667819,79.712709,"Darsi (V &M),PrakasamPrakasam523247Andhra Pradesh"
164,Andhra Pradesh,WEST GODAVARI,West Godavari,534328,25.671635,72.7485158,"Peravali (M), West GodavariWest GodavariWest Godavari534328Andhra Pradesh"
165,Andhra Pradesh,SRIKAKULAM,Srikakulam,532148,22.94447,72.24696,"Akkivalasa (Village&P.O),SrikakulamSrikakulam532148Andhra Pradesh"
166,Andhra Pradesh,YSR (KADAPA),Kadapa,516115,27.0723,76.768077,"Rajampeta Mandal,KadapaKadapa516115Andhra Pradesh"
167,Andhra Pradesh,GUNTUR,Guntur,522310,27.220073,78.0645,"Bharthipudi (V), Bapatla (M),GunturGuntur522310Andhra Pradesh"
168,Andhra Pradesh,YSR (KADAPA),Kadapa,516130,27.077212,94.693586,"T.Sundupalli, Mandal,KadapaKadapa516130Andhra Pradesh"
169,Andhra Pradesh,ANANTAPUR,Anantapur,515001,29.725761,74.284495,Anantapur (M)AnantapurAnantapur515001Andhra Pradesh
170,Andhra Pradesh,PRAKASAM,Prakasam,523270,23.436839,74.263807,PrakasamPrakasam523270Andhra Pradesh
171,Andhra Pradesh,EAST GODAVARI,East Godavari,533213,29.56055,77.238491,"Amalapuram Rural(M),East GodavariEast Godavari533213Andhra Pradesh"
172,Andhra Pradesh,KURNOOL,Kurnool,518360,24.83782,87.7751348,"Nandhavaram (M),KurnoolKurnool518360Andhra Pradesh"
173,Andhra Pradesh,WEST GODAVARI,West Godavari,534328,28.826662,77.871004,West GodavariWest Godavari534328Andhra Pradesh
